(153, 331)
(16, 235)
(643, 257)
(598, 190)
(243, 238)
(421, 124)
(595, 164)
(23, 167)
(573, 87)
(673, 244)
(225, 131)
(68, 360)
(392, 260)
(543, 184)
(358, 135)
(65, 49)
(594, 349)
(537, 17)
(496, 32)
(593, 386)
(391, 344)
(672, 362)
(42, 114)
(554, 178)
(549, 89)
(535, 103)
(43, 80)
(375, 1)
(591, 179)
(25, 234)
(492, 361)
(106, 359)
(37, 33)
(610, 194)
(595, 60)
(621, 217)
(354, 246)
(670, 387)
(100, 250)
(424, 155)
(566, 39)
(241, 62)
(383, 91)
(378, 200)
(426, 206)
(541, 365)
(695, 346)
(89, 142)
(80, 375)
(210, 242)
(531, 363)
(195, 192)
(433, 246)
(623, 233)
(127, 379)
(626, 202)
(249, 32)
(533, 2)
(408, 101)
(492, 177)
(190, 332)
(540, 71)
(156, 47)
(428, 382)
(568, 252)
(499, 322)
(157, 126)
(316, 190)
(329, 84)
(561, 119)
