(136, 151)
(488, 461)
(644, 159)
(516, 414)
(459, 144)
(152, 34)
(64, 314)
(10, 215)
(677, 433)
(544, 455)
(524, 176)
(478, 464)
(527, 161)
(432, 88)
(441, 280)
(667, 114)
(181, 90)
(416, 69)
(117, 75)
(222, 413)
(396, 96)
(570, 456)
(143, 343)
(556, 174)
(277, 308)
(107, 59)
(341, 99)
(568, 319)
(565, 375)
(474, 109)
(628, 269)
(205, 442)
(495, 253)
(614, 373)
(669, 201)
(486, 128)
(9, 403)
(342, 333)
(145, 97)
(240, 424)
(293, 131)
(515, 152)
(296, 223)
(64, 429)
(110, 36)
(175, 262)
(367, 403)
(633, 462)
(352, 301)
(537, 464)
(663, 131)
(506, 10)
(187, 343)
(40, 247)
(555, 302)
(517, 384)
(199, 359)
(137, 274)
(320, 138)
(80, 224)
(365, 255)
(95, 187)
(126, 52)
(462, 148)
(652, 14)
(535, 369)
(135, 209)
(73, 185)
