(93, 359)
(363, 255)
(48, 269)
(620, 252)
(338, 1)
(644, 290)
(560, 401)
(668, 305)
(441, 456)
(612, 115)
(675, 267)
(154, 354)
(179, 153)
(34, 262)
(545, 317)
(650, 326)
(216, 416)
(123, 277)
(167, 178)
(355, 33)
(464, 7)
(415, 363)
(353, 105)
(146, 393)
(246, 342)
(353, 281)
(647, 52)
(456, 336)
(203, 95)
(116, 320)
(307, 131)
(645, 300)
(178, 378)
(587, 205)
(134, 290)
(97, 221)
(396, 320)
(62, 277)
(458, 286)
(325, 68)
(72, 57)
(540, 19)
(525, 340)
(116, 371)
(384, 200)
(478, 268)
(166, 26)
(580, 56)
(560, 331)
(264, 266)
(139, 321)
(21, 42)
(118, 302)
(329, 347)
(60, 73)
(32, 199)
(608, 153)
(485, 124)
(379, 463)
