(601, 469)
(91, 435)
(319, 56)
(611, 438)
(628, 426)
(423, 195)
(115, 164)
(674, 211)
(349, 202)
(604, 108)
(518, 12)
(425, 192)
(479, 105)
(315, 338)
(410, 94)
(646, 275)
(529, 159)
(358, 266)
(708, 5)
(616, 451)
(416, 320)
(713, 372)
(382, 263)
(180, 76)
(413, 452)
(787, 275)
(148, 44)
(534, 428)
(196, 265)
(408, 42)
(520, 341)
(400, 497)
(502, 167)
(72, 230)
(649, 489)
(547, 436)
(231, 492)
(226, 328)
(637, 18)
(20, 478)
(292, 479)
(554, 52)
(411, 184)
(55, 446)
(92, 302)
(609, 40)
(517, 145)
(429, 216)
(786, 157)
(298, 55)
(678, 56)
(729, 423)
(546, 62)
(804, 170)
(656, 248)
(626, 364)
(179, 381)
(101, 412)
(249, 501)
(530, 80)
(69, 140)
(756, 124)
(61, 425)
(800, 303)
(512, 51)
(659, 343)
(791, 308)
(751, 94)
