(39, 13)
(187, 223)
(582, 349)
(235, 412)
(64, 78)
(528, 432)
(65, 433)
(60, 449)
(691, 63)
(322, 49)
(672, 378)
(626, 320)
(104, 35)
(231, 241)
(653, 245)
(301, 54)
(287, 52)
(185, 224)
(101, 157)
(190, 114)
(293, 179)
(483, 91)
(539, 459)
(433, 24)
(542, 298)
(564, 274)
(347, 229)
(411, 119)
(404, 303)
(638, 285)
(619, 293)
(682, 308)
(672, 109)
(156, 455)
(408, 42)
(38, 47)
(134, 361)
(100, 3)
(423, 377)
(336, 152)
(183, 64)
(605, 41)
(693, 390)
(280, 450)
(386, 59)
(65, 386)
(638, 42)
(274, 159)
(299, 247)
(441, 423)
(181, 58)
(64, 312)
(413, 108)
(43, 423)
(676, 94)
(20, 154)
(352, 332)
(44, 382)
(495, 195)
(633, 388)
(391, 258)
