(150, 451)
(107, 346)
(9, 127)
(699, 234)
(491, 318)
(639, 513)
(646, 379)
(681, 285)
(565, 141)
(548, 141)
(440, 511)
(57, 500)
(231, 350)
(432, 262)
(285, 429)
(318, 458)
(350, 397)
(525, 363)
(17, 384)
(510, 487)
(54, 29)
(15, 9)
(603, 63)
(296, 371)
(230, 64)
(251, 145)
(403, 107)
(631, 108)
(391, 147)
(568, 130)
(51, 445)
(31, 278)
(282, 369)
(26, 424)
(578, 427)
(684, 334)
(495, 31)
(372, 263)
(625, 415)
(150, 141)
(262, 332)
(503, 300)
(639, 455)
(463, 5)
(321, 7)
(150, 320)
(154, 221)
(147, 23)
(496, 366)
(37, 427)
(288, 89)
(198, 145)
(665, 239)
(66, 42)
(157, 192)
(590, 515)
(48, 441)
(152, 105)
(164, 467)
(29, 351)
(349, 219)
(241, 78)
